"SP_P_ID","plot_ID","inv","inv_year","stand","tree_ID","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","bot_name","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha","DBH_class_10","state","tree_inventory_status","DBH_incl_growth","growth_method","BA_m2_incl_growth","height_inc_growth","DBH_h_m","R2.x","R2.y","mean_DBH_cm","Dg_cm","Hg_m","R2_comb","H_new_method","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","stw",41.2928766387579,0.0335298158306714,20.646438319379
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","stb",3.30120785448664,0.0159778460157153,1.65060392724332
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","sw",823.101027521215,0.668358034347227,411.550513760607
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","sb",70.0306896122285,0.338948537723186,35.0153448061142
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","fwb",195.006434612884,0.846912945523755,97.503217306442
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","ndl",83.6286364003864,0,41.8143182001932
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","bg",210.912782710893,0.873178920423097,105.456391355446
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","total",1427.27365535085,2.77690609986365,713.636827675426
"140037gfi",140037,"HBI",2011,"A",1,0,335,53,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,25.9214017694222,"coeff_SP_P",NA,395,130,39.5,0.122541748444087,17.84,0.0500373591558179,0.0999860870850348,"30","14",2,50.382642971064,"growth_df P S DBHC SP",0.199366311174203,26.3676309414064,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","ag",1216.36087263996,1.90372717944055,608.180436319979
"140037gfi",140037,"HBI",2011,"A",2,0,1332,42,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",45,1,1,NA,26.2675277158409,"coeff_SP_P",NA,461,130,46.1,0.166913603083389,17.84,0.0500373591558179,0.0999860870850348,"40","14",2,63.8379337231969,"growth_df P S DBHC SP",0.320071882694701,26.4671686436848,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","stw",68.3367849459903,0.0554894693761441,34.1683924729952
"140037gfi",140037,"HBI",2011,"A",2,0,1332,42,53,1,"gfi","GFi","Picea abies",1,"NB","fi","fi","fi","FI","FI","FI",45,1,1,NA,26.2675277158409,"coeff_SP_P",NA,461,130,46.1,0.166913603083389,17.84,0.0500373591558179,0.0999860870850348,"40","14",2,63.8379337231969,"growth_df P S DBHC SP",0.320071882694701,26.4671686436848,1.3,0.871616133039511,0.818618937104054,31.1125,32.0197237391789,23.2961548971097,0.871616133039511,"coeff_SP_P","stb",5.18248915115646,0.0250832474915973,2.59124457557823
